COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
114,0,0,4538.97435897436,4222.30769230769,4282.4358974359,4175,4242.94871794872,4230,4232.17948717949,4202.4358974359,4188.33333333333,4188.97435897436,4126.02564102564,4286.41025641026,4174.74358974359,4486.79487179487,0,0,0.041,0,0,0,0,0,0,
115,0,209,4528.20512820513,4226.41025641026,4270,4182.69230769231,4254.8717948718,4240.51282051282,4220.12820512821,4204.10256410256,4188.07692307692,4189.8717948718,4127.17948717949,4248.33333333333,4175.89743589744,4469.8717948718,0,0,0.0489161638267938,0,0,0,0,0,0,
116,0,0,4530.12820512821,4227.05128205128,4248.84615384615,4180.64102564103,4257.69230769231,4244.48717948718,4202.17948717949,4207.5641025641,4189.23076923077,4191.79487179487,4129.23076923077,4236.53846153846,4177.30769230769,4463.71794871795,8267,449,0.0568323276535876,0,0.0647484883666039,0,0,0,0,
117,0,62,4557.5641025641,4227.69230769231,4257.30769230769,4183.20512820513,4255.64102564103,4244.23076923077,4202.5641025641,4211.02564102564,4190.64102564103,4191.15384615385,4132.17948717949,4253.33333333333,4176.92307692308,4474.23076923077,8267,449,0.0647484914803814,0,0.0647484883666039,0,0,0,0,
118,0,0,4562.94871794872,4224.48717948718,4268.46153846154,4188.20512820513,4252.94871794872,4241.02564102564,4228.33333333333,4209.10256410256,4190.64102564103,4190.89743589744,4129.48717948718,4245.76923076923,4177.69230769231,4473.71794871795,8267,449,0.0726287121265595,0,0.0647484883666039,0,0,0,0,
119,0,209,4555,4220.51282051282,4274.10256410256,4182.17948717949,4250.76923076923,4236.53846153846,4229.74358974359,4199.23076923077,4190.38461538462,4191.53846153846,4125.89743589744,4226.02564102564,4176.02564102564,4465.64102564103,8267,449,0.0805089327727376,0,0.0647484883666039,0,0,0,0,
120,0,0,4543.46153846154,4220.64102564103,4261.92307692308,4177.82051282051,4253.20512820513,4239.23076923077,4217.05128205128,4192.94871794872,4190.12820512821,4191.15384615385,4129.48717948718,4224.8717948718,4175.25641025641,4462.4358974359,9995,14017,0.0884891534189157,0,0.0647484883666039,0,0,0,0,
121,0,62,4566.92307692308,4216.53846153846,4270.76923076923,4170.25641025641,4247.4358974359,4238.58974358974,4214.23076923077,4194.23076923077,4185.64102564103,4191.53846153846,4128.07692307692,4241.15384615385,4173.20512820513,4471.02564102564,9995,14017,0.0964693740650938,0,0.0647484883666039,0,0,0,0,
122,0,0,4582.05128205128,4213.97435897436,4286.15384615385,4168.46153846154,4243.97435897436,4237.5641025641,4224.23076923077,4197.30769230769,4186.41025641026,4188.33333333333,4124.74358974359,4228.33333333333,4172.30769230769,4464.48717948718,9995,14017,0.104349594711272,0,0.0647484883666039,0,0,0,0,
123,0,209,4572.30769230769,4212.94871794872,4291.28205128205,4163.71794871795,4241.41025641026,4234.74358974359,4227.17948717949,4195,4190,4184.61538461538,4124.35897435897,4207.69230769231,4170.76923076923,4458.58974358974,9995,14017,0.11232981535745,0,0.0647484883666039,0,0,0,0,
124,0,0,4550.25641025641,4218.33333333333,4290.12820512821,4162.82051282051,4250.12820512821,4236.66666666667,4225.25641025641,4200.64102564103,4188.46153846154,4187.17948717949,4128.33333333333,4195.25641025641,4171.92307692308,4442.4358974359,12299,10497,0.120310036003628,0,0.0647484883666039,0,0,0,0,
125,0,62,4569.8717948718,4212.30769230769,4293.07692307692,4151.53846153846,4244.8717948718,4227.4358974359,4225.25641025641,4207.17948717949,4184.8717948718,4190.51282051282,4127.05128205128,4182.5641025641,4169.35897435897,4439.61538461538,12299,10497,0.128290256649806,0,0.0647484883666039,0,0,0,0,
126,0,0,4577.30769230769,4212.4358974359,4273.07692307692,4153.20512820513,4240.89743589744,4228.71794871795,4222.4358974359,4204.35897435897,4186.15384615385,4188.97435897436,4127.5641025641,4155.25641025641,4169.8717948718,4435.25641025641,12299,10497,0.136170477295984,0,0.0647484883666039,0,0,0,0,
127,0,55,4561.41025641026,4211.28205128205,4275.89743589744,4148.97435897436,4237.94871794872,4230.64102564103,4225.38461538462,4191.53846153846,4186.53846153846,4189.35897435897,4126.79487179487,4165.89743589744,4171.92307692308,4444.35897435897,12299,10497,0.144150697942162,0,0.0647484883666039,0,0,0,0,
0,0,0,4548.84615384615,4209.48717948718,4298.71794871795,4153.07692307692,4242.82051282051,4231.02564102564,4227.4358974359,4189.23076923077,4186.02564102564,4192.30769230769,4127.69230769231,4180,4173.07692307692,4444.35897435897,14987,6273,0.15203091858834,0,0.0647484883666039,0,0,0,0,
1,0,122,4548.07692307692,4206.28205128205,4281.53846153846,4155.25641025641,4241.53846153846,4226.15384615385,4226.02564102564,4196.92307692308,4187.94871794872,4193.46153846154,4126.02564102564,4172.05128205128,4171.02564102564,4441.66666666667,14987,6273,0.160011139234519,0,0.0647484883666039,0,0,0,0,
